Submitter	bases	rel_bases
Sun Yat-sen University	1.10879994313e+12	9.18356025857e-05
Johns Hopkins University School of Medicine Center	1.10763559348e+12	9.17391661167e-05
Kunming Institute of Zoology, Chinese Academy of S	1.10375877569e+12	9.14180713145e-05
UBCDB-RL	1.09861329416e+12	9.09919002999e-05
Beijing Chaoyang Hospita	1.098347399e+12	9.0969877714e-05
Ocean University of China	1.09289111153e+12	9.05179644084e-05
IBRC	1.0915020764e+12	9.04029185169e-05
Freie Universitaet Berlin	1.08338489863e+12	8.97306187779e-05
Imperial College London	1.07619371537e+12	8.91350139066e-05
MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	1.07583267934e+12	8.91051113418e-05
University of Windsor	1.06997486936e+12	8.86199422068e-05
PHASIBEAM	1.06563591184e+12	8.82605709958e-05
UWML	1.06470414517e+12	8.81833980541e-05
Max Planck Institute for molecular Genentics, Berl	1.06267443295e+12	8.80152885171e-05
Lieber Institute for Brain Development	1.06243059106e+12	8.79950924783e-05
University of Vienna	1.05692079844e+12	8.75387476446e-05
Washington University in St. Louis, School of Medi	1.05588714496e+12	8.74531359974e-05
USC-phs000836	1.05294142422e+12	8.72091586762e-05
University of California, San Francisco	1.05218267791e+12	8.71463160285e-05
Harvard T.H. Chan School of Public Health	1.05181161868e+12	8.71155832997e-05
Pennsylvania State University	1.0495692818e+12	8.69298632701e-05
University of California, Los Angeles	1.04615454076e+12	8.66470396615e-05
University of Miami	1.04611272559e+12	8.66435763484e-05
UNIVERSITY OF TORONTO	1.04419784928e+12	8.6484978018e-05
