date,bases,open_access_bases,bytes,open_access_bytes
"04/10/2012",346074502740063,210922479521560,300954839907713,225824197532062
"04/11/2012",348617947097242,212333476722449,302438243622961,226715583600676
"04/12/2012",352716166878462,212581060615589,304476374340741,226879638257935
"04/13/2012",359829428734211,213836905432557,308297128550929,227674574970479
"04/14/2012",366663182375442,216108545830687,312146446124076,229057769516287
"04/15/2012",381534533074783,229674130514980,321491206357647,237711983875254
"04/16/2012",383842753269758,230626923096117,322724252351224,238401530769833
"04/17/2012",384662030088074,230857505427533,323055168044792,238556143588295
"04/18/2012",393992217359016,231308121259400,326967280797416,238861082249604
"04/19/2012",396505948018586,231421443022250,328193377410257,238944297354461
"04/20/2012",397254884435679,231949151789543,328644229022245,239324890559211
"04/21/2012",397811446235930,232505713589794,329006387390866,239687048927832
"04/22/2012",398756678075030,233450945428894,329607583730486,240288245267452
"04/23/2012",400125206883623,234552386390787,330445714759851,241011930214797
"04/24/2012",401341107436095,234762244938576,330998348530801,241157055877013
"04/25/2012",402630865025615,235129874350048,331733449670088,241366097602124
"04/26/2012",403078315501960,235577324826393,332021276397110,241653924329146
"04/27/2012",408920697727114,241419707051547,335813108253884,245445756185920
"04/28/2012",408981496098455,241480505422888,335853340044970,245485987977006
"04/29/2012",408984410791725,241483420116158,335859154902487,245491802834523
"04/30/2012",409391745819438,241890755143871,336118060254664,245750708186700
"05/01/2012",409900207340013,242399216664446,336437465589175,246070113521211
"05/02/2012",410152359536926,242555219803071,336594101295984,246173337768799
"05/03/2012",410761298096393,242999859682223,336983481839215,246484308708596
"05/04/2012",411149077511473,243387639097303,337271799624812,246772626494193
"05/05/2012",411159324917457,243397886503287,337279880202160,246780707071541
"05/06/2012",411307728715855,243546290301685,337383266621991,246884093491372
"05/07/2012",411836831729874,244075393315704,337731200919304,247232027788685
"05/08/2012",412135754842226,244374316428056,337941550503334,247442377372715
"05/09/2012",412930079624889,244601016247115,338396517777080,247583721646880
"05/10/2012",414089037374846,244915592903115,338962689200586,247790124731416
"05/11/2012",414983496247134,245571815405403,339551596990731,248275834145191
"05/12/2012",415130911178336,245592645096105,339635568645416,248290278647775
"05/13/2012",415137015117903,245598749035672,339641290340884,248296000343243
"05/14/2012",415601409066922,246063142984691,339923433114534,248578143116893
"05/15/2012",416801045285995,247216638907300,340785712785007,249418218102020
"05/16/2012",416986873044826,247264783177461,340927142573066,249452251265479
"05/17/2012",419268542087860,249473490562215,342307125526875,250775290468820
"05/18/2012",424499006904712,254500560414400,345525579640731,253899401835954
"05/19/2012",424508546942170,254510100451858,345532137863317,253905960058540
"05/20/2012",424691250110112,254518031404640,345624498711081,253911356230517
"05/21/2012",425063584818969,254846633747459,345844344412207,254110663321511
"05/22/2012",426900013993807,256283729424840,346901843058717,254979699174318
"05/23/2012",427220193247762,256374651675645,347070890266671,255040107899960
"05/24/2012",427294082794791,256448541222674,347125827164463,255095044797752
"05/25/2012",430110181143875,256886683123388,348797452666581,255408929749201
"05/26/2012",436195241488119,256966778600667,352320243770326,255466732084350
"05/27/2012",436261289617032,257032826729580,352354142212652,255500630526676
"05/28/2012",436482110845338,257072082644936,352465118419934,255524962153879
"05/29/2012",441908833411387,257163649449220,356142453841438,255610706816796
"05/30/2012",446946185800491,260516288453610,359618419850021,257884179084339
"05/31/2012",449216352639073,262603647424072,361143552324660,259293598741621
"06/01/2012",449940446411182,263057438694979,361564608840070,259590491074644
"06/02/2012",472087583336650,263060312988010,371318717499789,259593640997750
"06/03/2012",472739821631581,263208737000291,371793460081702,259690792117308
"06/04/2012",474300927120767,263711859673405,372832937039232,260028581741160
"06/05/2012",475004833603323,263914286695661,373353661861601,260176940766870
"06/06/2012",476439000178010,264322051520758,374381611019421,260460100377613
"06/07/2012",477119760281651,264484179766389,374860693109214,260555351376961
"06/08/2012",478712051499761,264802859253647,375997306375380,260755746377104
"06/09/2012",479023787344563,264864679161759,376228907305179,260797350115015
"06/10/2012",479050952858008,264891844675204,376245502233756,260813945043592
"06/11/2012",481002812547212,265246603223740,377161157415181,261032698687639
"06/12/2012",484160814913141,266525096878685,379173339746923,262041571369969
"06/13/2012",484879481438109,266599918563453,379652837290735,262090038756229
"06/14/2012",485157984565265,266698078292676,379828977089900,262146843453411
"06/15/2012",486780451335500,267018653046381,380977941444814,262360777786156
"06/16/2012",487046695376456,267020785661297,381171515310529,262363142542494
"06/17/2012",490003968498155,267233538322496,383352346068807,262521848369784
"06/18/2012",490658521919549,267638256935870,383810160585484,262782806619444
"06/19/2012",495901985898285,267807662032896,387457811025300,262894873193082
"06/20/2012",498674232615721,267923211175382,389573759720192,263058720924664
"06/21/2012",501288059530558,268277726582969,391541121512346,263323142345247
"06/22/2012",503942319685142,268305523067303,393540987534015,263345430054476
"06/23/2012",507961421770321,268531468256002,396555947671915,263489662571559
"06/24/2012",511403794493981,268591218048422,399129426396198,263528294731446
"06/25/2012",516102531596431,269008165833682,402694247721705,263877887023839
"06/26/2012",518889253950654,269210334693235,404745320729930,264019483798901
"06/27/2012",527898865263149,269416646030330,411637445996437,264222416694206
"06/28/2012",530614531587002,269514250544513,413524315136049,264279785193554
"06/29/2012",537711045400510,269577868603031,418961117453615,264341347230814
"06/30/2012",542910464594755,269845971711636,422933198862653,264569436702122
"07/01/2012",545363157140539,270210879890640,424722502373607,264777429569118
"07/02/2012",546467496178815,270459723207276,425592475211375,264992321544419
"07/03/2012",547672159778510,270992888998739,426472954043442,265397282217892
"07/04/2012",553474505582297,271250431224506,430928330026141,265560472085777
"07/05/2012",557199676870888,271314963643027,433838899586187,265634091532963
"07/06/2012",562394915562858,271720071143017,437926544750222,266022863294109
"07/07/2012",566553529536408,271776329238737,441132074692384,266067965347151
"07/08/2012",570676978873316,271811384621455,444293813578615,266100182355593
"07/09/2012",575284335773813,272539247524692,447717518152681,266561601783677
"07/10/2012",576459737000791,272560943142320,448605473571832,266580563772106
"07/11/2012",578150218036331,274171513348660,449676880637865,267605904199661
"07/12/2012",578434466458451,274455761770780,449857002812417,267786026374213
"07/13/2012",578822643565352,274843938877681,450104908442202,268033932003998
"07/14/2012",586633361359082,274897736888281,456091483972286,268073647882792
"07/15/2012",588054765088092,274907991080851,457182264419550,268081536033707
"07/16/2012",589427300674732,275192907879501,458195637682250,268263242087060
"07/17/2012",590582294158766,275809207682205,458995340475395,268653446504474
"07/18/2012",592361222971558,275872143475067,460350790089302,268696524073149
"07/19/2012",593720033177045,275930975921334,461398181458549,268746264159972
"07/20/2012",600345671565610,276366756930529,466424197525624,269027625864108
"07/21/2012",605513910200610,276366756930529,470377055381853,269027625864108
